SE2111,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2112,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2113,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2114,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2115,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2116,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2198,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2199,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2300,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2301,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2302,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2303,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2304,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2305,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2306,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2308,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2398,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2399,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2400,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2500,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2501,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2502,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2510,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2598,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2599,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2600,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2601,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2602,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2610,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2698,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2699,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2700,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2701,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2702,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2710,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2798,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2799,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2800,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2801,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2802,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2810,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2898,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2899,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE3000,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE3001,instant,,,,,,,,Prior1YearNonConsolidatedInstant
SE3002,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE3005,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3010,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3098,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3099,instant,,,,,,,,CurrentYearNonConsolidatedInstant
SE3100,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE3101,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE3102,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE3104,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3105,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3106,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3110,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3198,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE3199,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
