NT0704,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0705,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0801,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0802,,,title,tuple,,,,,
NT0803,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0804,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0805,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0806,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0807,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0808,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0809,,,title,tuple,NT0808,NT0802,0,100,
NT0810,instant,,,,NT0809,NT0809,0,,CurrentYearNonConsolidatedInstant
NT0811,instant,,,,NT0809,NT0809,0,,CurrentYearNonConsolidatedInstant
NT0812,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0813,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0814,instant,,,,NT0802,NT0802,0,,CurrentYearNonConsolidatedInstant
NT0901,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0902,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0903,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT1001,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT1102,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT1201,,,title,tuple,,,,,
NT1202,instant,,,,NT1201,NT1201,0,,CurrentYearNonConsolidatedInstant
NT1203,instant,,,,NT1201,NT1201,0,,CurrentYearNonConsolidatedInstant
